Référence;Semaine;Client;Besoin;Dispo_TIS;PDP;DISPO_IDL;SS;LeadTime_Semaine;CA_unitaire
SELNVE32376;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SELZN0007001LF;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SEL2072043A03LF;WK49;SCH MIC-PX40;0;0;32;0;100;1;
SEL2071960A21LF;WK49;SCH MIC-PX40;0;0;0;0;200;2;
SEL9651445LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SEL9651334LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SEL9651333LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SEL45196503A01LF;WK49;SCH MIC-C264;0;0;0;0;100;1;
SEL9651444LF;WK49;SCH MIC-PX30;0;0;40;0;100;1;
SEL9651304LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SEL2072033A01LF;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SELT071613A01LF;WK49;SCH MIC-C264;0;0;0;0;100;1;
SELZN0044002LF;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SEL2071960A27LF;WK49;SCH MIC-PX40;0;0;0;0;200;1;
SEL9651515LF;WK49;SCH MIC-PX30;0;0;40;0;100;1;
SEL9651361LF;WK49;SCH MIC-PX30;0;0;90;0;100;1;
SEL9650669LF;WK49;SCH MIC-PX30;0;0;50;0;100;1;
SEL9650424LF;WK49;SCH MIC-PX30;0;162;228;0;100;1;
SEL336421LF;WK49;SCH MIC-PX30;0;42;42;0;100;1;
SELGN0014010LF;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SEL2071966A01LF;WK49;SCH MIC-PX40;0;0;14;0;100;1;
SEL9650355LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SEL45196503A04LF;WK49;SCH MIC-C264;0;0;0;0;100;1;
SEL336971LF;WK49;SCH MIC-PX30;0;0;120;0;100;1;
SEL2071964A05LF;WK49;SCH MIC-PX40;0;0;0;0;200;1;
SEL9650354LF;WK49;SCH MIC-PX30;0;0;102;0;100;1;
SELGN0014003LF;WK49;SCH MIC-PX40;0;0;96;0;100;2;
SEL2071937A01LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
ARE2071717A05;WK49;SCH MIC-PX20;0;0;0;0;100;2;
